 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Boundiali,2007-2016,Aged 5 or above,540,Savannah,Simulium damnosum s.l,46.60%,10.99,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,79%,,40%-54%,-,,-,-,-,-,0.00%,100*No. positive/number examined,0/540,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Tiassale,2007-2016,Aged 5 or above,513,Forest,Simulium damnosum s.l,43.40%,7.71,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,16,5,Annual,1995-1996,-,75%,,40%-54%,-,,-,-,-,-,4.30%,100*No. positive/number examined,22/513,0.28,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Ferkéssédougou,2007-2016,Aged 5 or above,3914,Savannah,Simulium damnosum s.l,43.00%,8.22,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,-,,40%-54%,-,,-,-,-,-,2.70%,100*No. positive/number examined,107/3914,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Abengourou,2007-2016,Aged 5 or above,754,Forest,Simulium damnosum s.l,42.60%,10.25,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1975,20,16,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,10.70%,100*No. positive/number examined,81/754,0.1,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Seguela,2007-2016,Aged 5 or above,448,Pre-Forest,Simulium damnosum s.l,40.90%,6.1,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1975,18,16,Annual,1995-1996,-,81%,2013,40%-54%,-,,-,-,-,-,5.10%,100*No. positive/number examined,23/448,0.1,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,3
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Korhogo,2007-2016,Aged 5 or above,1425,Savannah,Simulium damnosum s.l,40.90%,9.55,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,84%,2011,40%-54%,-,,-,-,-,-,1.30%,100*No. positive/number examined,19/1425,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,5
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Dabakala,2007-2016,Aged 5 or above,422,Pre-Forest,Simulium damnosum s.l,38.60%,4.61,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,81%,2015,40%-54%,-,,-,-,-,-,2.80%,100*No. positive/number examined,12/422,0.09,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Dimbokro,2007-2016,Aged 5 or above,265,Pre-Forest,Simulium damnosum s.l,33.00%,14.28,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,2.60%,100*No. positive/number examined,7/265,0.07,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Bondoukou,2007-2016,Aged 5 or above,514,Pre-Forest,Simulium damnosum s.l,31.50%,2.93,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,87%,2015,40%-54%,-,,-,-,-,-,10.90%,100*No. positive/number examined,56/514,0.11,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Zuenoula,2007-2016,Aged 5 or above,163,Forest,Simulium damnosum s.l,31.00%,3.41,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,82%,2012,40%-54%,-,,-,-,-,-,0.00%,100*No. positive/number examined,0/163,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,4
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Bouna,2007-2016,Aged 5 or above,1859,Pre-Forest,Simulium damnosum s.l,30.50%,1,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,89%,2015,40%-54%,-,,-,-,-,-,2.80%,100*No. positive/number examined,52/1859,0.06,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Daoukro,2007-2016,Aged 5 or above,250,Pre-Forest,Simulium damnosum s.l,30.20%,3.14,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1975,20,16,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,11.20%,100*No. positive/number examined,28/250,0.57,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,M'Bahiakro,2007-2016,Aged 5 or above,1570,Pre-Forest,Simulium damnosum s.l,29.80%,2.09,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,84%,2012,40%-54%,-,,-,-,-,-,12.90%,100*No. positive/number examined,203/1570,0.57,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,4
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Béoumi,2007-2016,Aged 5 or above,138,Pre-Forest,Simulium damnosum s.l,28.20%,13.29,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,85%,2008,40%-54%,-,,-,-,-,-,4.30%,100*No. positive/number examined,6/138,0.16,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,8
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Bouaflé,2007-2016,Aged 5 or above,719,Forest,Simulium damnosum s.l,27.00%,0.62,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,85%,2015,40%-54%,-,,-,-,-,-,2.20%,100*No. positive/number examined,16/719,0.02,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Ouangolo,2007-2016,Aged 5 or above,2188,Savannah,Simulium damnosum s.l,26.20%,2.62,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,,,40%-54%,-,,-,-,-,-,3.40%,100*No. positive/number examined,75/2188,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Mankono,2007-2016,Aged 5 or above,1142,Pre-Forest,Simulium damnosum s.l,22.40%,1.47,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1975,20,16,Annual,1995-1996,-,79%,,40%-54%,-,,-,-,-,-,0.50%,100*No. positive/number examined,6/1142,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Katiola,2007-2016,Aged 5 or above,2623,Pre-Forest,Simulium damnosum s.l,13.30%,0.27,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1975,20,16,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,2.50%,100*No. positive/number examined,65/2623,0.04,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Bocanda,2007-2016,Aged 5 or above,104,Pre-Forest,Simulium damnosum s.l,5.30%,0.17,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,84%,2011,40%-54%,-,,-,-,-,-,9.60%,100*No. positive/number examined,10/104,0.3,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,5
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Yamoussoukro,2007-2016,Aged 5 or above,138,Pre-Forest,Simulium damnosum s.l,3.90%,0.13,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,82%,2013,40%-54%,-,,-,-,-,-,0,100*No. positive/number examined,0/138,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,3
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Biankouma,2007-2016,Aged 5 or above,276,Forest,Simulium damnosum s.l,,0.09,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,80%,2015,40%-54%,-,,-,-,-,-,20.70%,100*No. positive/number examined,57/276,1.2,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
